,Nurse,2023-02-01-mañana,2023-02-01-tarde,2023-02-02-mañana,2023-02-02-tarde,2023-02-03-mañana,2023-02-03-tarde,2023-02-04-mañana,2023-02-04-tarde,2023-02-05-mañana,2023-02-05-tarde,2023-02-06-mañana,2023-02-06-tarde,2023-02-07-mañana,2023-02-07-tarde,2023-02-08-mañana,2023-02-08-tarde,2023-02-09-mañana,2023-02-09-tarde,2023-02-10-mañana,2023-02-10-tarde,2023-02-11-mañana,2023-02-11-tarde,2023-02-12-mañana,2023-02-12-tarde,2023-02-13-mañana,2023-02-13-tarde,2023-02-14-mañana,2023-02-14-tarde,2023-02-15-mañana,2023-02-15-tarde,2023-02-16-mañana,2023-02-16-tarde,2023-02-17-mañana,2023-02-17-tarde,2023-02-18-mañana,2023-02-18-tarde,2023-02-19-mañana,2023-02-19-tarde,2023-02-20-mañana,2023-02-20-tarde,2023-02-21-mañana,2023-02-21-tarde,2023-02-22-mañana,2023-02-22-tarde,2023-02-23-mañana,2023-02-23-tarde,2023-02-24-mañana,2023-02-24-tarde,2023-02-25-mañana,2023-02-25-tarde,2023-02-26-mañana,2023-02-26-tarde,2023-02-27-mañana,2023-02-27-tarde,2023-02-28-mañana,2023-02-28-tarde,objective_1,objective_2
10,person_8,-,T2,-,T2,-,T1,-,-,-,-,-,T2,-,T2,-,-,-,T2,-,CHX,-,-,-,T1,-,CHX,-,-,-,T1,-,T2,-,CHX,-,-,-,T1,-,T1,-,-,-,-,-,CHX,-,T2,-,-,-,T1,-,T2,-,-,10.0,13.1875
11,person_6,M,-,M,-,M,-,M,-,-,-,-,-,-,-,-,-,COM,-,M,-,DISP,-,-,-,M,-,M,-,-,-,M,-,M,-,-,-,DISP,-,-,CHX,-,T2,-,CHX,-,T2,-,CHX,-,-,-,-,-,T1,-,T1,10.0,13.1875
12,person_2,M,-,M,-,M,-,-,-,M,-,M,-,M,-,COM,-,M,-,M,-,-,-,DISP,-,-,T2,-,T2,-,T1,-,CHX,-,T2,-,-,-,-,-,-,COM,-,M,-,M,-,M,-,-,-,M,-,COM,-,M,-,10.0,13.1875
13,person_4,-,-,-,-,-,CHX,-,-,-,-,M,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,-,CHX,-,CHX,-,CHX,-,T1,-,T1,-,-,M,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,-,CHX,10.0,13.1875
14,person_1,-,-,-,-,-,-,DISP,-,-,-,-,T1,-,T2,-,CHX,-,T1,-,T2,-,-,-,-,-,-,M,-,M,-,COM,-,COM,-,M,-,-,-,M,-,M,-,M,-,COM,-,COM,-,DISP,-,-,-,M,-,COM,-,10.0,13.1875
15,person_7,-,T1,-,T1,-,T2,-,T1,-,-,-,-,-,CHX,-,T1,-,CHX,-,-,-,-,-,-,COM,-,COM,-,COM,-,-,-,M,-,DISP,-,-,-,-,-,-,CHX,-,T1,-,CHX,-,-,-,T1,-,-,M,-,M,-,10.0,13.1875
16,person_5,-,-,-,-,-,-,-,-,-,T1,-,CHX,-,T2,-,T2,-,-,-,T1,-,T1,-,-,M,-,M,-,M,-,M,-,-,-,-,-,M,-,-,T1,-,T2,-,T1,-,-,-,-,-,-,-,-,-,CHX,-,T2,11.0,12.62499999999999
17,person_3,COM,-,COM,-,COM,-,M,-,-,-,COM,-,COM,-,M,-,COM,-,COM,-,-,-,M,-,COM,-,-,-,M,-,M,-,M,-,-,-,DISP,-,-,T2,-,T1,-,T2,-,T1,-,T1,-,-,-,-,-,CHX,-,-,11.0,12.62499999999999
18,person_8,-,T2,-,T2,-,T1,-,-,-,-,-,T2,-,T2,-,CHX,-,T2,-,CHX,-,-,-,T1,-,CHX,-,-,-,T1,-,T2,-,CHX,-,-,-,T1,-,CHX,-,-,-,-,-,CHX,-,T2,-,-,-,T1,-,T2,-,-,11.0,12.62499999999999
19,person_6,M,-,M,-,COM,-,-,-,DISP,-,-,T1,-,T1,-,-,-,CHX,-,CHX,-,-,-,-,M,-,COM,-,-,-,-,-,M,-,M,-,-,-,M,-,M,-,COM,-,-,-,-,-,-,-,M,-,-,T1,-,T1,11.0,12.62499999999999
20,person_2,M,-,M,-,M,-,-,-,M,-,M,-,M,-,COM,-,M,-,M,-,-,-,DISP,-,-,T1,-,T1,-,T2,-,T1,-,T1,-,-,-,-,-,-,COM,-,M,-,M,-,M,-,-,-,DISP,-,COM,-,M,-,11.0,12.62499999999999
21,person_4,M,-,M,-,M,-,DISP,-,-,-,M,-,M,-,M,-,M,-,M,-,DISP,-,-,-,-,-,-,CHX,-,CHX,-,CHX,-,T2,-,-,-,-,COM,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,-,CHX,11.0,12.62499999999999
